shippingMethod,containerSize,shippingCharge
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
air,small,20
air,medium,30
air,large,50
mail,small,10
mail,medium,15
mail,large,20
